collectionDate,specimenBiophysicalType,preservationType,fmaAnatomicSourceLocation,pathologicalStatus,diseaseStatus,collectionInstitution,CtepStudyID,SpecimenCount
2007-11-15,Tissue Slide,Fixed-Other,Not Specified,Malignant,On Therapy,Centre Hospitalier Universitaire Sainte-Justine,P9851,2
2000-06-04,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Childrens Hospital of Orange County,CCG-1961,2
2013-01-15,Tissue,Fixed-Formalin,Not Specified,Non-Malignant,Pre-Therapy,Lucile Packard Children's Hospital Stanford University,AREN03B2,1
2009-02-17,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Children's Hospitals and Clinics of Minnesota - Minneapolis,ANBL00B1,2
2005-10-04,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Loyola University Medical Center,AALL03B1,2
2012-06-19,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,University of Mississippi Medical Center,AALL08B1,1
2011-04-12,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,C S Mott Children's Hospital,AALL0932,1
2005-12-27,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Mount Sinai Medical Center,ABTR01B1,1
2013-12-09,Whole Blood,Frozen,Blood,Non-Malignant,Pre-Therapy,Kosair Children's Hospital,AOST06B1,9
2014-02-13,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Golisano Children's Hospital of Southwest Florida,AALL08B1,2
2010-12-20,Plasma,Frozen,Blood,Not Specified,On Therapy,Lurie Children's Hospital-Chicago,AHOD03P1,10
2012-03-07,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,CancerCare Manitoba,AALL0932,16
2013-07-12,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Rady Children's Hospital - San Diego,AALL08B1,6
2009-09-23,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,IWK Health Centre,AALL03B1,1
1997-10-13,DNA,Frozen,Not Specified,Malignant,Pre-Therapy,Dayton Children's Hospital,CCG-B947,1
2011-04-21,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Children's Specialty Center of Nevada II,ANBL00B1,2
2011-07-21,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Southern Illinois University,AALL0932,5
2013-06-29,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Phoenix Childrens Hospital,AALL08B1,4
2006-03-03,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital of Philadelphia,AALL03B1,1
2009-05-20,Tissue Slide,Fixed-Formalin,Ovary,Malignant,Pre-Therapy,Children's Hospitals and Clinics of Minnesota - Minneapolis,ABTR01B1,9
2003-02-07,Tissue,Fixed-Other,Other,Malignant,Other/Not Specified,Kapiolani Medical Center for Women and Children,ANBL00B1,1
1997-08-07,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,British Columbia Children's Hospital,CCG-B947,6
2005-01-12,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,Nemours Children's Clinic-Jacksonville,ABTR01B1,1
2007-05-01,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Nemours Children's Clinic - Pensacola,AALL03B1,1
2002-07-30,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,Alberta Children's Hospital,P9851,1
2009-10-08,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospital Los Angeles,ABTR01B1,1
2007-12-19,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of New Mexico,ANBL00B1,16
2013-10-17,Tissue,Fixed-Formalin,Brain,Malignant,Pre-Therapy,State University of New York Upstate Medical University,ACNS02B3,1
2011-07-07,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Baylor College of Medicine,AALL08B1,1
2013-06-24,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Children's Hospital and Research Center at Oakland,AALL08B1,5
2006-12-27,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Specialty Center of Nevada II,AALL0331,1
2013-09-01,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Lady Cilento Children's Hospital,AALL1131,1
2009-03-03,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital Central California,AALL03B1,1
2015-04-03,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Therapeutic Relapse,Seattle Children's Hospital,AALL08B1,5
2008-09-03,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,Kosair Children's Hospital,ASCT0431,1
2009-09-21,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Alberta Children's Hospital,AALL03B1,3
2005-12-15,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Virginia Commonwealth University/Massey Cancer Center,AALL01B1,1
2013-07-03,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Baylor College of Medicine,AALL08B1,1
2008-04-15,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of Virginia,AOST0331,73
2010-06-01,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospital of Alabama,AALL03B1,1
2005-06-27,Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Post-Therapy,University of Iowa/Holden Comprehensive Cancer Center,CCG-B947,9
2010-11-30,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Washington University School of Medicine,AALL08B1,1
2003-04-28,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of Florida,A3973,10
2003-07-03,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,Arkansas Children's Hospital,D9902,1
2010-08-05,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospital Los Angeles,ANBL00B1,6
2007-11-10,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,British Columbia Children's Hospital,AALL03B1,11
2007-09-04,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Seattle Children's Hospital,AALL03B1,1
2005-10-05,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Children's Specialty Center of Nevada II,AALL0331,3
2014-08-13,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Legacy Emanuel Children's Hospital,AALL0932,1
2008-05-02,Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,Baystate Medical Center,ABTR01B1,2
2012-04-27,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,New York Medical College,AALL08B1,4
2012-03-09,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,University of Kentucky/Markey Cancer Center,ANBL0032,1
2010-11-10,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Medical City Dallas Hospital,AOST0331,1
2007-05-23,***,***,Bone Marrow,***,Pre-Therapy,Children's Hospital Medical Center of Akron,AALL0331,1
2010-09-08,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Broward Health Medical Center,AREN03B2,1
2006-09-19,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospital,AALL03B1,1
2013-01-23,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital of Eastern Ontario,AALL0932,1
2009-04-27,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Seattle Children's Hospital,AALL0331,2
2012-02-22,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,University of Texas Southwestern Medical Center,ANBL00B1,1
1991-01-14,Serum,Frozen,Blood,Not Specified,Other/Not Specified,Midwest Children's Cancer Center,POG-9047,2
2009-12-14,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Riley Hospital for Children,D9902,1
2008-09-07,DNA,Frozen,Not Specified,Malignant,Pre-Therapy,Wayne State University/Karmanos Cancer Institute,ABTR04B1,1
2014-11-17,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Post-Therapy,Primary Children's Hospital,ACCL1131,3
2015-02-17,Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,Cancer Centre of Southeastern Ontario at Kingston General Hospital,AALL08B1,1
2012-11-14,Serum,Frozen,Blood,Not Specified,On Therapy,Vanderbilt-Ingram Cancer Center,ARST08P1,3
2006-02-08,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Novant Health Presbyterian Medical Center,AALL03B1,3
2015-01-29,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Los Angeles Biomedical Research Institute at Harbor-UCLA Medical Center,AALL1131,2
2005-11-18,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,The Steven and Alexandra Cohen Children's Medical Center of New York,AALL0232,1
2004-06-25,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospitals and Clinics of Minnesota - Minneapolis,ANBL0032,2
2010-01-05,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Memorial Healthcare System - Joe DiMaggio Children's Hospital,AALL03B1,4
2011-08-31,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Maine Children's Cancer Program,AALL08B1,4
2001-09-17,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Seattle Children's Hospital,P9851,3
2010-06-30,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,University of North Carolina at Chapel Hill,ANBL0532,1
2012-06-29,Cell Slide,Fixed-Other,Not Specified,Not Specified,Other/Not Specified,Nemours Children's Hospital,AALL08B1,6
2004-03-10,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Children's Hospitals and Clinics of Minnesota - Minneapolis,CCG-1991,1
2011-01-31,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospital of Philadelphia,AALL08B1,1
2009-05-20,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Southern California Permanente Medical Group,AALL0331,1
2010-01-07,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Golisano Children's Hospital of Southwest Florida,ACNS0621,6
2008-09-18,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,University of Texas Southwestern Medical Center,AALL0232,1
2014-06-19,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Santa Barbara Cottage Hospital,AALL08B1,2
2013-07-15,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Riley Hospital for Children,AALL1131,1
2011-03-03,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of Wisconsin Hospital and Clinics,ARST0332,22
2011-07-06,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Children's Hospital Colorado,AOST06B1,30
1999-11-24,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Palmetto Health Richland,CCG-1961,2
2009-12-23,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Medical City Dallas Hospital,AALL0232,1
2014-08-22,Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,University of North Carolina at Chapel Hill,AALL0932,1
2011-02-02,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Baylor College of Medicine,AALL0932,5
2009-06-26,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,C S Mott Children's Hospital,AALL03B1,20
2014-12-30,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Arnold Palmer Hospital for Children,AALL08B1,1
2009-07-14,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Washington University School of Medicine,ANBL0532,6
2012-01-16,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Tulane University Health Sciences Center,AALL08B1,1
2011-02-18,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,University of Kentucky/Markey Cancer Center,AALL0622,3
2003-04-14,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Dana-Farber Cancer Institute,ANBL00B1,12
2005-01-13,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,West Virginia University Charleston,ABTR01B1,12
2009-07-31,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Wayne State University/Karmanos Cancer Institute,ABTR04B1,1
2013-04-26,DNA,Frozen,Not Specified,Not Specified,On Therapy,Morristown Memorial Hospital,AALL0434,1
2003-04-17,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Dayton Children's Hospital,ANBL00B1,11
2012-01-23,Tissue,Frozen,Not Specified,Malignant,Post-Therapy,Children's National Medical Center,ANBL00B1,2
2002-04-19,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Other/Not Specified,Princess Margaret Hospital for Children,CCG-B947,2
2009-01-20,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital of Pittsburgh of UPMC,AALL0331,9
2009-04-14,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Sutter General Hospital,AALL0331,1
2012-08-29,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,The University of Arizona Medical Center-University Campus,AALL0932,2
2013-12-30,DNA,Frozen,Bone Marrow,Not Specified,Therapeutic Relapse,The Montreal Children's Hospital of the MUHC,AALL07P1,3
2009-01-22,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Nemours Children's Clinic-Jacksonville,AALL0331,1
2011-01-03,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Phoenix Childrens Hospital,ANBL0532,14
2006-02-08,Tissue Slide,Fixed-Other,Ovary,Malignant,Pre-Therapy,Golisano Children's Hospital of Southwest Florida,AGCT0132,1
2006-07-06,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Saint Joseph's Hospital/Children's Hospital-Tampa,AALL0232,1
2006-03-14,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Swiss Pediatric Oncology Group - Bern,AALL0331,1
2008-10-03,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Helen DeVos Children's Hospital at Spectrum Health,ACNS0331,3
2011-04-21,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital of Eastern Ontario,AALL03B1,1
2011-01-18,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Midwest Children's Cancer Center,D9902,1
2005-09-01,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Winthrop University Hospital,AALL0232,2
2011-02-08,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Baylor College of Medicine,AALL08B1,2
2008-04-30,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Women's and Children's Hospital-Adelaide,AALL0232,2
2011-07-06,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,New York University Langone Medical Center,AALL08B1,3
2005-06-15,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Therapeutic Relapse,Seattle Children's Hospital,ABTR01B1,5
2012-05-16,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Loma Linda University Medical Center,AREN03B2,2
2004-03-06,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Children's Hospital Colorado,A9952,1
2011-11-16,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Alberta Children's Hospital,AOST06B1,4
2010-08-26,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,University of Vermont College of Medicine,ACNS02B3,3
2014-04-24,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Midwest Children's Cancer Center,ACNS02B3,1
2011-08-26,Serum,Frozen,Blood,Not Specified,Pre-Therapy,University of Illinois,ABTR01B1,2
2002-01-11,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,Duke University Medical Center,A3973,1
2006-12-07,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Dayton Children's Hospital,AALL03B1,1
2011-03-28,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Wayne State University/Karmanos Cancer Institute,ABTR01B1,3
2013-10-23,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Kosair Children's Hospital,AALL0932,12
2013-07-05,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Miami Children's Hospital,AALL0932,4
2009-08-26,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,The University of Arizona Medical Center-University Campus,AALL0434,1
2014-03-06,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,Children's Hospital of Philadelphia,AREN03B2,1
2005-07-13,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Loyola University Medical Center,D9902,1
2011-09-06,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Kaiser Permanente-Oakland,AALL08B1,12
2013-09-09,DNA,Frozen,Not Specified,Not Specified,Pre-Therapy,Miller Children's and Women's Hospital Long Beach,AALL1131,1
2006-03-14,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Childrens Hospital-King's Daughters,AALL03B1,4
2011-10-20,Whole Bone Marrow,Cryopreserved,Bone Marrow,Not Specified,Pre-Therapy,Memorial Sloan-Kettering Cancer Center,D9902,4
2012-12-11,Tissue,Frozen,Eye,Malignant,Pre-Therapy,University of Illinois,ABTR01B1,1
2013-04-20,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Marshfield Clinic,ACNS02B3,16
2014-07-28,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Sutter General Hospital,AALL0932,1
2000-04-28,Tissue,Frozen,Other,Malignant,Other/Not Specified,University of Iowa/Holden Comprehensive Cancer Center,CCG-B944,1
2008-04-21,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,University of New Mexico,ANBL00B1,2
2009-12-14,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,University of New Mexico,AALL0331,2
2013-09-04,Serum,Frozen,Blood,Not Specified,On Therapy,Riley Hospital for Children,AHOD1221,3
2015-02-10,Serum,Frozen,Blood,Not Specified,Pre-Therapy,University of Minnesota Medical Center-Fairview,AEWS07B1,5
2008-12-05,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Advocate Children's Hospital-Park Ridge,AALL03B1,3
2010-11-29,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Legacy Emanuel Children's Hospital,AALL08B1,4
2010-03-03,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Women's and Children's Hospital-Adelaide,AALL0232,1
2006-11-07,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Southern Illinois University,AALL0331,1
2008-10-24,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospitals and Clinics of Minnesota - Minneapolis,AHOD04B1,17
2010-01-20,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Saint Christopher's Hospital for Children,ANBL00B1,8
2013-12-04,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospitals and Clinics of Minnesota - Minneapolis,AALL08B1,1
2009-04-29,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Children's Hospital Los Angeles,AALL03B1,6
2006-12-05,Tissue,Frozen,Not Specified,Non-Malignant,Other/Not Specified,Penn State Hershey Children's Hospital,ACNS02B3,1
2009-12-31,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Lurie Children's Hospital-Chicago,D9902,1
2014-07-18,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Saint Joseph's Regional Medical Center,AALL0932,15
2008-10-21,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospital Colorado,AALL07P1,1
2001-12-31,Tissue,Frozen,Adrenal,Malignant,Other/Not Specified,Nationwide Children's Hospital,A3973,1
2014-05-05,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,MedStar Georgetown University Hospital,ANBL00B1,10
2013-06-06,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Riley Hospital for Children,AALL08B1,1
2003-01-30,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,C S Mott Children's Hospital,CCG-1991,1
2015-03-31,Tissue,Frozen,Brain,Malignant,Pre-Therapy,Penn State Hershey Children's Hospital,ACNS02B3,2
2009-11-20,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,University of Texas Southwestern Medical Center,AALL03B1,2
2008-11-04,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Childrens Hospital of Orange County,AREN03B2,3
2013-02-04,Tissue Slide,Fixed-Formalin,Not Specified,Metastatic,Pre-Therapy,Dana-Farber Cancer Institute,ANBL00B1,7
2014-03-25,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Cardinal Glennon Children's Medical Center,AALL0932,4
2011-07-18,Whole Blood,Cryopreserved,Blood,Non-Malignant,On Therapy,Saint Joseph's Hospital/Children's Hospital-Tampa,D9902,1
2006-07-14,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Childrens Hospital-King's Daughters,AALL0331,1
2013-01-23,Whole Bone Marrow,Cryopreserved,Bone Marrow,Not Specified,Pre-Therapy,Children's Hospital Colorado,ABTR01B1,10
2013-05-24,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Saint Christopher's Hospital for Children,ACNS02B3,1
2008-12-02,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Penn State Hershey Children's Hospital,CCG-1991,6
2009-04-17,Tissue,Frozen,Other,Malignant,Pre-Therapy,Children's Specialty Center of Nevada II,ANBL0532,3
2008-09-23,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of New Mexico,ANBL00B1,16
2015-01-30,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Georgia Regents University Medical Center,AALL08B1,1
2011-11-22,Tissue,Frozen,Not Specified,Non-Malignant,Pre-Therapy,University of Rochester,AREN03B2,1
2010-09-15,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,The Childrens Mercy Hospital,AALL08B1,2
2014-06-20,Tissue,Frozen,Not Specified,Malignant,Post-Therapy,Children's Hospital and Medical Center of Omaha,ANBL12P1,2
2011-01-06,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Virginia Commonwealth University/Massey Cancer Center,AREN03B2,5
2013-07-29,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,Baptist Hospital of Miami,ANBL00B1,1
2007-04-24,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,Saint Joseph's Hospital/Children's Hospital-Tampa,POG-9900,1
2012-10-05,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Children's Hospital Colorado,ACNS0831,1
1994-01-19,Tissue,Frozen,Other,Malignant,Other/Not Specified,Roswell Park Cancer Institute,POG-9047,1
2011-12-09,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Medical University of South Carolina,AALL08B1,2
2009-04-10,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Therapeutic Relapse,Primary Children's Hospital,AALL05B1,4
2007-06-01,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Natalie Warren Bryant Cancer Center at Saint Francis,POG-9900,1
2007-04-20,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,University of Chicago Comprehensive Cancer Center,AALL03B1,1
2005-11-01,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Loyola University Medical Center,AALL0331,1
2008-09-24,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Childrens Hospital of Orange County,ANBL0032,5
2015-03-02,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospital of Philadelphia,AALL08B1,2
2001-05-11,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Children's Hospitals and Clinics of Minnesota - Minneapolis,ANBL00B1,2
2012-01-02,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Children's Hospitals and Clinics of Minnesota - Minneapolis,AALL08B1,1
2010-11-03,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,The University of Arizona Medical Center-University Campus,AALL0932,1
2012-07-17,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Advocate Children's Hospital-Park Ridge,AALL08B1,1
2009-04-15,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Healthcare of Atlanta - Egleston,AALL03B1,1
2002-07-01,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Phoenix Childrens Hospital,P9851,1
2000-11-22,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Methodist Children's Hospital of South Texas,CCG-5941,1
2014-05-08,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,Rainbow Babies and Childrens Hospital,AREN03B2,1
2009-03-03,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Saint Luke's Mountain States Tumor Institute,AALL03B1,4
1999-12-17,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Loma Linda University Medical Center,CCG-1952,2
2014-01-22,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Providence Sacred Heart Medical Center and Children's Hospital,ABTR01B1,1
2014-07-07,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital Los Angeles,AALL0932,4
2009-06-25,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of Iowa/Holden Comprehensive Cancer Center,AOST0331,46
2001-01-12,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Saint Vincent Hospital,D9902,1
2009-04-23,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of Illinois,AOST0331,60
2011-04-23,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Primary Children's Hospital,AALL08B1,1
2013-07-26,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Children's Healthcare of Atlanta - Egleston,AALL08B1,14
2004-11-09,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,University of Alberta Hospital,POG-9900,1
2005-07-27,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,University of Chicago Comprehensive Cancer Center,AALL0331,11
2014-08-08,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Therapeutic Relapse,Children's Healthcare of Atlanta - Egleston,AALL05B1,3
2006-01-04,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Saint Peter's University Hospital,AALL0331,1
