specimenBiophysicalType,preservationType,fmaAnatomicSourceLocation,pathologicalStatus,diseaseStatus,CtepStudyID,CollectionProtocolStatus,ProtocolCategory,SpecimenCount
Serum,Frozen,Blood,Not Specified,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,174
Serum,Frozen,Blood,Not Specified,Pre-Therapy,CCG-B973,Complete,Non-Hodgkin Lymphoma,17
Serum,Frozen,Blood,Not Specified,Pre-Therapy,D9602,Complete,Soft Tissue Sarcoma,3
Serum,Frozen,Blood,Not Specified,Pre-Therapy,D9803,Complete,Soft Tissue Sarcoma,8
Serum,Frozen,Blood,Not Specified,Pre-Therapy,D9902,Active,Soft Tissue Sarcoma,1226
Serum,Frozen,Blood,Not Specified,Pre-Therapy,P9641,Complete,Neuroblastoma,18
Serum,Frozen,Blood,Not Specified,Pre-Therapy,P9749,Complete,Germ Cell Tumor,16
Serum,Frozen,Blood,Not Specified,Pre-Therapy,P9754,Complete,Osteosarcoma,240
Serum,Frozen,Blood,Not Specified,Pre-Therapy,P9851,Complete,Osteosarcoma,635
Serum,Frozen,Blood,Not Specified,Pre-Therapy,POG-8741/42,Complete,Non-Hodgkin Lymphoma,11
Serum,Frozen,Blood,Not Specified,Pre-Therapy,POG-8743,Complete,Non-Hodgkin Lymphoma,2
Serum,Frozen,Blood,Not Specified,Pre-Therapy,POG-9047,Complete,Non-Hodgkin Lymphoma,67
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,A5962,Administratively Complete,Hodgkin Disease,6
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AALL08B1,Active,Acute Lymphoblastic Leukemia,4
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AALL0932,Active,Acute Lymphoblastic Leukemia,4
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AAML0523,Complete,Acute Myeloid Leukemia,3
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,ABTR01B1,Active,Biopathology and Translational Research,22
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,ADVL1221,Closed To Accrual And Intervention,Experimental Therapeutics,3
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AEWS0031,Complete,Ewing Sarcoma,4
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AEWS02B1,Complete,Ewing Sarcoma,2
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AEWS0331,Closed To Accrual,Ewing Sarcoma,16
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AEWS07B1,Active,Ewing Sarcoma,97
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AEWS1031,Active,Ewing Sarcoma,32
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AGCT0132,Complete,Germ Cell Tumor,5
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AGCT0521,Complete,Germ Cell Tumor,6
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AHOD0031,Complete,Hodgkin Disease,48
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AHOD00P1,Complete,Hodgkin Disease,28
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AHOD03P1,Closed To Accrual And Intervention,Hodgkin Disease,13
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AHOD0431,Complete,Hodgkin Disease,4
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AHOD04B1,Closed To Accrual,Hodgkin Disease,208
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AHOD1221,Active,Hodgkin Disease,9
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,ANBL0032,Active,Neuroblastoma,2
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,ANBL00B1,Active,Neuroblastoma,25
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,ANBL0532,Temporarily Closed To Accrual,Neuroblastoma,1
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AOST0331,Closed To Accrual And Intervention,Osteosarcoma,32
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,AOST06B1,Active,Osteosarcoma,71
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,ARST0331,Complete,Soft Tissue Sarcoma,3
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,ARST0332,Complete,Soft Tissue Sarcoma,8
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,ARST0531,Complete,Soft Tissue Sarcoma,15
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,ARST08P1,Complete,Soft Tissue Sarcoma,14
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,ARST0921,Closed To Accrual And Intervention,Soft Tissue Sarcoma,19
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,CCG-5942,Complete,Hodgkin Disease,3
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,CCG-5961,Complete,Non-Hodgkin Lymphoma,1
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,CCG-B944,Complete,Hodgkin Disease,4
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,D9902,Active,Soft Tissue Sarcoma,71
Serum,Frozen,Blood,Not Specified,Therapeutic Relapse,P9851,Complete,Osteosarcoma,5
Tissue,Cryopreserved,Bile Duct,Malignant,Pre-Therapy,ARST0331,Complete,Soft Tissue Sarcoma,1
Tissue,Cryopreserved,Bile Duct,Malignant,Pre-Therapy,D9902,Active,Soft Tissue Sarcoma,1
Tissue,Cryopreserved,Not Specified,Malignant,On Therapy,AEWS07B1,Active,Ewing Sarcoma,1
Tissue,Cryopreserved,Not Specified,Malignant,On Therapy,AEWS1031,Active,Ewing Sarcoma,1
Tissue,Cryopreserved,Not Specified,Malignant,Other/Not Specified,AEWS0331,Closed To Accrual,Ewing Sarcoma,1
Tissue,Cryopreserved,Not Specified,Malignant,Other/Not Specified,AEWS07B1,Active,Ewing Sarcoma,7
Tissue,Cryopreserved,Not Specified,Malignant,Other/Not Specified,AEWS1031,Active,Ewing Sarcoma,3
Tissue,Cryopreserved,Not Specified,Malignant,Pre-Therapy,AEWS0331,Closed To Accrual,Ewing Sarcoma,1
Tissue,Cryopreserved,Not Specified,Malignant,Pre-Therapy,AEWS07B1,Active,Ewing Sarcoma,12
Tissue,Cryopreserved,Not Specified,Malignant,Pre-Therapy,AEWS1031,Active,Ewing Sarcoma,1
Tissue,Cryopreserved,Not Specified,Malignant,Pre-Therapy,AOST0331,Closed To Accrual And Intervention,Osteosarcoma,1
Tissue,Cryopreserved,Not Specified,Malignant,Pre-Therapy,AOST06B1,Active,Osteosarcoma,2
Tissue,Fixed-Formalin,Adrenal,Malignant,Other/Not Specified,A3961,Complete,Neuroblastoma,8
Tissue,Fixed-Formalin,Adrenal,Malignant,Other/Not Specified,A3973,Complete,Neuroblastoma,5
Tissue,Fixed-Formalin,Adrenal,Malignant,Other/Not Specified,ADVL0122,Closed To Accrual,Experimental Therapeutics,1
Tissue,Fixed-Formalin,Adrenal,Malignant,Other/Not Specified,ANBL00B1,Active,Neuroblastoma,33
Tissue,Fixed-Formalin,Adrenal,Malignant,Other/Not Specified,ANBL0321,Complete,Neuroblastoma,2
Tissue,Fixed-Formalin,Adrenal,Malignant,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,21
Tissue,Fixed-Formalin,Adrenal,Malignant,Other/Not Specified,CCG-B973,Complete,Non-Hodgkin Lymphoma,5
Tissue,Fixed-Formalin,Adrenal,Malignant,Other/Not Specified,P9641,Complete,Neuroblastoma,14
Tissue,Fixed-Formalin,Adrenal,Malignant,Other/Not Specified,POG-9047,Complete,Non-Hodgkin Lymphoma,1
Tissue,Fixed-Formalin,Adrenal,Malignant,Pre-Therapy,A3973,Complete,Neuroblastoma,2
Tissue,Fixed-Formalin,Adrenal,Malignant,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,2
Tissue,Fixed-Formalin,Adrenal,Malignant,Pre-Therapy,ANBL00B1,Active,Neuroblastoma,7
Tissue,Fixed-Formalin,Adrenal,Malignant,Pre-Therapy,ARAR0332,Closed To Accrual,Rare Tumors,27
Tissue,Fixed-Formalin,Adrenal,Metastatic,Other/Not Specified,ANBL0321,Complete,Neuroblastoma,1
Tissue,Fixed-Formalin,Adrenal,Metastatic,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,1
Tissue,Fixed-Formalin,Adrenal,Metastatic,Pre-Therapy,ARAR0332,Closed To Accrual,Rare Tumors,3
Tissue,Fixed-Formalin,Adrenal,Metastatic,Therapeutic Relapse,ARAR0332,Closed To Accrual,Rare Tumors,1
Tissue,Fixed-Formalin,Adrenal,Non-Malignant,Other/Not Specified,A3961,Complete,Neuroblastoma,3
Tissue,Fixed-Formalin,Adrenal,Non-Malignant,Other/Not Specified,ANBL00B1,Active,Neuroblastoma,4
Tissue,Fixed-Formalin,Adrenal,Non-Malignant,Other/Not Specified,ANBL0321,Complete,Neuroblastoma,2
Tissue,Fixed-Formalin,Adrenal,Non-Malignant,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,5
Tissue,Fixed-Formalin,Adrenal,Non-Malignant,Other/Not Specified,CCG-B973,Complete,Non-Hodgkin Lymphoma,1
Tissue,Fixed-Formalin,Adrenal,Non-Malignant,Other/Not Specified,P9641,Complete,Neuroblastoma,1
Tissue,Fixed-Formalin,Adrenal,Non-Malignant,Pre-Therapy,ARAR0332,Closed To Accrual,Rare Tumors,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,AALL0331,Closed To Accrual,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,AALL03B1,Complete,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,AAML00P2,Complete,Acute Myeloid Leukemia,2
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,AAML0431,Complete,Acute Myeloid Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,AAML0523,Complete,Acute Myeloid Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,ACNS02B3,Active,Central Nervous System Tumors,2
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,AE22,Complete,Epidemiology,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-105,Complete,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1891,Complete,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1922,Complete,Unknown/Unspecified,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1961,Complete,Acute Lymphoblastic Leukemia,2
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1991,Complete,Acute Lymphoblastic Leukemia,2
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,15
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-E15,Complete,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,P9851,Complete,Osteosarcoma,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AALL03B1,Complete,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,6
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AALL08B1,Active,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AAML0531,Complete,Acute Myeloid Leukemia,18
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AAML1031,Active,Acute Myeloid Leukemia,12
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,ABTR06C1,Complete,Biopathology and Translational Research,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AHOD0321,Complete,Hodgkin Disease,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AHOD04B1,Closed To Accrual,Hodgkin Disease,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,ANBL00B1,Active,Neuroblastoma,2
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,ANHL1131,Active,Non-Hodgkin Lymphoma,2
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,CCG-1991,Complete,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,4
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,POG-9900,Complete,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,AALL02P2,Closed To Accrual And Intervention,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,AAML1031,Active,Acute Myeloid Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,ABTR01B1,Active,Biopathology and Translational Research,1
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,ACNS02B3,Active,Central Nervous System Tumors,2
Tissue,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,D9902,Active,Soft Tissue Sarcoma,1
Tissue,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,A3973,Complete,Neuroblastoma,1
Tissue,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,1
Tissue,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,ANBL0032,Active,Neuroblastoma,1
Tissue,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,ANBL00B1,Active,Neuroblastoma,1
Tissue,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,ANHL1131,Active,Non-Hodgkin Lymphoma,1
Tissue,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,1
Tissue,Fixed-Formalin,Bone Marrow,Metastatic,Therapeutic Relapse,AEWS07B1,Active,Ewing Sarcoma,1
Tissue,Fixed-Formalin,Bone Marrow,Non-Malignant,Other/Not Specified,AAML00P2,Complete,Acute Myeloid Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Non-Malignant,Pre-Therapy,AAML0523,Complete,Acute Myeloid Leukemia,1
Tissue,Fixed-Formalin,Bone Marrow,Non-Malignant,Pre-Therapy,AAML0531,Complete,Acute Myeloid Leukemia,1
Tissue,Fixed-Formalin,Brain,Malignant,Other/Not Specified,ACNS02B3,Active,Central Nervous System Tumors,19
Tissue,Fixed-Formalin,Brain,Malignant,Other/Not Specified,ACNS0423,Complete,Central Nervous System Tumors,1
Tissue,Fixed-Formalin,Brain,Malignant,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,4
Tissue,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,3
Tissue,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0121,Complete,Central Nervous System Tumors,2
Tissue,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0126,Complete,Central Nervous System Tumors,1
Tissue,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS02B3,Active,Central Nervous System Tumors,21
Tissue,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0332,Temporarily Closed To Accrual,Central Nervous System Tumors,2
Tissue,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0333,Temporarily Closed To Accrual,Central Nervous System Tumors,1
Tissue,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0423,Complete,Central Nervous System Tumors,2
Tissue,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0831,Active,Central Nervous System Tumors,9
Tissue,Fixed-Formalin,Brain,Malignant,Therapeutic Relapse,ACNS02B3,Active,Central Nervous System Tumors,2
Tissue,Fixed-Formalin,Brain,Malignant,Therapeutic Relapse,ACNS0831,Active,Central Nervous System Tumors,1
Tissue,Fixed-Formalin,Eye,Malignant,On Therapy,AEPI05N1,Closed To Accrual,Epidemiology,8
Tissue,Fixed-Formalin,Eye,Malignant,Other/Not Specified,ABTR01B1,Active,Biopathology and Translational Research,5
Tissue,Fixed-Formalin,Eye,Malignant,Other/Not Specified,AEPI05N1,Closed To Accrual,Epidemiology,21
Tissue,Fixed-Formalin,Eye,Malignant,Other/Not Specified,ARET0332,Complete,Retinoblastoma,9
Tissue,Fixed-Formalin,Eye,Malignant,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,2
Tissue,Fixed-Formalin,Eye,Malignant,Other/Not Specified,D9602,Complete,Soft Tissue Sarcoma,1
Tissue,Fixed-Formalin,Eye,Malignant,Other/Not Specified,D9902,Active,Soft Tissue Sarcoma,1
Tissue,Fixed-Formalin,Eye,Malignant,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,1
Tissue,Fixed-Formalin,Eye,Malignant,Pre-Therapy,AEPI05N1,Closed To Accrual,Epidemiology,26
Tissue,Fixed-Formalin,Eye,Malignant,Pre-Therapy,ARET0321,Temporarily Closed To Accrual,Retinoblastoma,3
Tissue,Fixed-Formalin,Eye,Malignant,Pre-Therapy,ARET0332,Complete,Retinoblastoma,1
Tissue,Fixed-Formalin,Eye,Malignant,Pre-Therapy,ARST0331,Complete,Soft Tissue Sarcoma,1
Tissue,Fixed-Formalin,Eye,Malignant,Pre-Therapy,D9902,Active,Soft Tissue Sarcoma,1
Tissue,Fixed-Formalin,Eye,Malignant,Therapeutic Relapse,AEPI05N1,Closed To Accrual,Epidemiology,2
Tissue,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,ABTR01B1,Active,Biopathology and Translational Research,10
Tissue,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,AHOD0031,Complete,Hodgkin Disease,2
Tissue,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,AHOD04B1,Closed To Accrual,Hodgkin Disease,22
Tissue,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,ANHL0131,Complete,Non-Hodgkin Lymphoma,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,CCG-5941,Complete,Non-Hodgkin Lymphoma,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,CCG-B944,Complete,Hodgkin Disease,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,4
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,13
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AALL08B1,Active,Acute Lymphoblastic Leukemia,3
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,15
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ABTR04B1,Active,Biopathology and Translational Research,3
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AHOD0031,Complete,Hodgkin Disease,107
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AHOD0321,Complete,Hodgkin Disease,3
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AHOD03P1,Closed To Accrual And Intervention,Hodgkin Disease,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AHOD0431,Complete,Hodgkin Disease,10
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AHOD04B1,Closed To Accrual,Hodgkin Disease,54
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ANBL0032,Active,Neuroblastoma,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ANBL00B1,Active,Neuroblastoma,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ANHL0131,Complete,Non-Hodgkin Lymphoma,5
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ANHL04B1,Active,Non-Hodgkin Lymphoma,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ANHL1131,Active,Non-Hodgkin Lymphoma,3
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ANHL12P1,Active,Non-Hodgkin Lymphoma,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,CCG-5961,Complete,Non-Hodgkin Lymphoma,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,CCG-B944,Complete,Hodgkin Disease,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,8
Tissue,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,ABTR01B1,Active,Biopathology and Translational Research,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,AHOD0031,Complete,Hodgkin Disease,13
Tissue,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,AHOD00P1,Complete,Hodgkin Disease,4
Tissue,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,AHOD0321,Complete,Hodgkin Disease,5
Tissue,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,AHOD0431,Complete,Hodgkin Disease,1
Tissue,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,AHOD04B1,Closed To Accrual,Hodgkin Disease,2
Tissue,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,CCG-B947,Complete,Unknown/Unspecified,2
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,AB9804,Closed To Accrual,Ewing Sarcoma,1
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,ADVL0821,Complete,Experimental Therapeutics,2
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,ADVL1221,Closed To Accrual And Intervention,Experimental Therapeutics,4
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,AEWS0031,Complete,Ewing Sarcoma,4
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,AEWS02B1,Complete,Ewing Sarcoma,8
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,AEWS0331,Closed To Accrual,Ewing Sarcoma,5
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,AGCT0132,Complete,Germ Cell Tumor,1
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,AHOD04B1,Closed To Accrual,Hodgkin Disease,1
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,ANBL00B1,Active,Neuroblastoma,1
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,ANBL0532,Temporarily Closed To Accrual,Neuroblastoma,1
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,AOST0121,Complete,Osteosarcoma,1
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,AOST0331,Closed To Accrual And Intervention,Osteosarcoma,40
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,AOST06B1,Active,Osteosarcoma,2
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,AREN03B2,Active,Renal Tumors,204
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST0331,Complete,Soft Tissue Sarcoma,2
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST0332,Complete,Soft Tissue Sarcoma,41
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST0431,Complete,Soft Tissue Sarcoma,3
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST0531,Complete,Soft Tissue Sarcoma,6
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST08P1,Complete,Soft Tissue Sarcoma,2
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST1321,Active,Soft Tissue Sarcoma,1
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,CCG-4921,Administratively Complete,Renal Tumors,2
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,CCG-B903,Complete,Unknown/Unspecified,2
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,CCG-B947,Complete,Unknown/Unspecified,12
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,D9602,Complete,Soft Tissue Sarcoma,1
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,D9902,Active,Soft Tissue Sarcoma,64
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,P9645,Complete,Liver Tumors,1
Tissue,Fixed-Formalin,Not Specified,Malignant,On Therapy,P9851,Complete,Osteosarcoma,9
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A3961,Complete,Neuroblastoma,73
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A3973,Complete,Neuroblastoma,93
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A5962,Administratively Complete,Hodgkin Disease,4
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A5971,Complete,Non-Hodgkin Lymphoma,195
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A9952,Complete,Central Nervous System Tumors,3
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A9961,Complete,Central Nervous System Tumors,15
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL0232,Closed To Accrual,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL03B1,Complete,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,1
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AAML0531,Complete,Acute Myeloid Leukemia,8
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AB9804,Closed To Accrual,Ewing Sarcoma,96
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,ABTR01B1,Active,Biopathology and Translational Research,382
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,ABTR04B1,Active,Biopathology and Translational Research,13
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,ACNS0122,Complete,Central Nervous System Tumors,13
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,ACNS0126,Complete,Central Nervous System Tumors,67
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,ACNS0221,Closed To Accrual And Intervention,Central Nervous System Tumors,1
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,ACNS0223,Complete,Central Nervous System Tumors,12
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,ACNS02B3,Active,Central Nervous System Tumors,556
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,ACNS0331,Active,Central Nervous System Tumors,159
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,ACNS0332,Temporarily Closed To Accrual,Central Nervous System Tumors,26
Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,ACNS0333,Temporarily Closed To Accrual,Central Nervous System Tumors,5
