specimenBiophysicalType	preservationType	fmaAnatomicSourceLocation	pathologicalStatus	diseaseStatus	CtepStudyID	CollectionProtocolStatus	ProtocolCategory	Race	SpecimenCount
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL06N1	Active	Acute Lymphoblastic Leukemia	Hawaiian	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL06N1	Active	Acute Lymphoblastic Leukemia	Korean	3
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL06N1	Active	Acute Lymphoblastic Leukemia	Other	79
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL06N1	Active	Acute Lymphoblastic Leukemia	Unknown	73
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL06N1	Active	Acute Lymphoblastic Leukemia	White	1140
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P1	Complete	Acute Lymphoblastic Leukemia	American Indian, Aleutian	4
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P1	Complete	Acute Lymphoblastic Leukemia	Black	89
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P1	Complete	Acute Lymphoblastic Leukemia	Korean	3
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P1	Complete	Acute Lymphoblastic Leukemia	Other	41
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P1	Complete	Acute Lymphoblastic Leukemia	Pacific Islander, NOS	15
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P1	Complete	Acute Lymphoblastic Leukemia	Unknown	18
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P1	Complete	Acute Lymphoblastic Leukemia	White	622
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P2	Complete	Acute Lymphoblastic Leukemia	Asian Indian, Pakistani	9
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P2	Complete	Acute Lymphoblastic Leukemia	Black	25
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P2	Complete	Acute Lymphoblastic Leukemia	Filipino	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P2	Complete	Acute Lymphoblastic Leukemia	Other	23
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P2	Complete	Acute Lymphoblastic Leukemia	Unknown	20
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P2	Complete	Acute Lymphoblastic Leukemia	Vietnamese	3
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P2	Complete	Acute Lymphoblastic Leukemia	White	358
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P4	Closed To Accrual	Acute Lymphoblastic Leukemia	Asian Indian, Pakistani	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P4	Closed To Accrual	Acute Lymphoblastic Leukemia	Black	123
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P4	Closed To Accrual	Acute Lymphoblastic Leukemia	Filipino	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P4	Closed To Accrual	Acute Lymphoblastic Leukemia	Hawaiian	16
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P4	Closed To Accrual	Acute Lymphoblastic Leukemia	Other	24
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P4	Closed To Accrual	Acute Lymphoblastic Leukemia	Other Asian	39
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P4	Closed To Accrual	Acute Lymphoblastic Leukemia	Unknown	79
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL07P4	Closed To Accrual	Acute Lymphoblastic Leukemia	White	1208
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Unknown/Unspecified	133
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	American Indian, Aleutian	568
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Asian Indian, Pakistani	896
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Black	4608
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Chinese	504
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Fiji Islander	10
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Filipino	404
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Guamanian, NOS	3
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Hawaiian	113
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Hmong	66
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Japanese	36
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Korean	70
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Laotian	40
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Micronesian NOS	8
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Other	4267
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Other Asian	905
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Pacific Islander, NOS	93
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Samoan	44
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Thai	5
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Tongan	7
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Unknown	3502
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	Vietnamese	131
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08B1	Active	Acute Lymphoblastic Leukemia	White	43963
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08P1	Closed To Accrual And Intervention	Acute Lymphoblastic Leukemia	Asian Indian, Pakistani	36
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08P1	Closed To Accrual And Intervention	Acute Lymphoblastic Leukemia	Black	93
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08P1	Closed To Accrual And Intervention	Acute Lymphoblastic Leukemia	Other	113
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08P1	Closed To Accrual And Intervention	Acute Lymphoblastic Leukemia	Other Asian	24
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08P1	Closed To Accrual And Intervention	Acute Lymphoblastic Leukemia	Pacific Islander, NOS	6
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08P1	Closed To Accrual And Intervention	Acute Lymphoblastic Leukemia	Unknown	43
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08P1	Closed To Accrual And Intervention	Acute Lymphoblastic Leukemia	Vietnamese	4
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL08P1	Closed To Accrual And Intervention	Acute Lymphoblastic Leukemia	White	518
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Unknown/Unspecified	56
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	American Indian, Aleutian	275
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Asian Indian, Pakistani	352
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Black	1455
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Chinese	200
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Fiji Islander	10
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Filipino	163
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Guamanian, NOS	3
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Hawaiian	37
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Hmong	25
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Japanese	17
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Korean	53
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Laotian	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Micronesian NOS	8
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Other	1697
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Other Asian	296
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Pacific Islander, NOS	17
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Samoan	23
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Thai	5
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Tongan	6
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Unknown	1417
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	Vietnamese	40
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL0932	Active	Acute Lymphoblastic Leukemia	White	17530
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Unknown/Unspecified	63
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	American Indian, Aleutian	205
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Asian Indian, Pakistani	328
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Black	1413
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Chinese	116
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Filipino	119
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Hawaiian	54
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Hmong	21
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Japanese	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Korean	14
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Other	1777
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Other Asian	350
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Pacific Islander, NOS	28
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Samoan	20
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Tongan	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Unknown	1089
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	Vietnamese	9
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1131	Active	Acute Lymphoblastic Leukemia	White	15130
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1231	Active	Acute Lymphoblastic Leukemia	Unknown/Unspecified	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1231	Active	Acute Lymphoblastic Leukemia	American Indian, Aleutian	15
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1231	Active	Acute Lymphoblastic Leukemia	Black	96
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1231	Active	Acute Lymphoblastic Leukemia	Other	37
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1231	Active	Acute Lymphoblastic Leukemia	Other Asian	26
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1231	Active	Acute Lymphoblastic Leukemia	Unknown	31
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AALL1231	Active	Acute Lymphoblastic Leukemia	White	674
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0122	Complete	Acute Myeloid Leukemia	White	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML03P1	Complete	Acute Myeloid Leukemia	White	9
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0431	Complete	Acute Myeloid Leukemia	White	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0523	Complete	Acute Myeloid Leukemia	Black	62
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0523	Complete	Acute Myeloid Leukemia	Other	3
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0523	Complete	Acute Myeloid Leukemia	Other Asian	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0523	Complete	Acute Myeloid Leukemia	Unknown	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0523	Complete	Acute Myeloid Leukemia	White	96
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	American Indian, Aleutian	14
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Asian Indian, Pakistani	37
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Black	429
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Chinese	6
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Filipino	19
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Hawaiian	18
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Hmong	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Japanese	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Korean	23
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Laotian	4
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Other	282
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Other Asian	91
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Samoan	5
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Unknown	210
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	Vietnamese	58
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML0531	Complete	Acute Myeloid Leukemia	White	3109
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML08B1	Active	Acute Myeloid Leukemia	White	3
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Unknown/Unspecified	13
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	American Indian, Aleutian	68
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Asian Indian, Pakistani	26
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Black	731
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Chinese	13
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Filipino	38
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Hmong	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Japanese	8
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Korean	3
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Other	215
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Other Asian	38
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Pacific Islander, NOS	15
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Samoan	15
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Unknown	186
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	Vietnamese	12
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AAML1031	Active	Acute Myeloid Leukemia	White	3505
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AB9804	Closed To Accrual	Ewing Sarcoma	Other Asian	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	AB9804	Closed To Accrual	Ewing Sarcoma	White	7
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Unknown/Unspecified	20
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	American Indian, Aleutian	12
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Asian Indian, Pakistani	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Black	161
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Chinese	6
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Filipino	11
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Guamanian, NOS	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Japanese	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Korean	6
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Other	74
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Other Asian	18
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Pacific Islander, NOS	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Samoan	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Unknown	72
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	Vietnamese	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR01B1	Active	Biopathology and Translational Research	White	1303
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR04B1	Active	Biopathology and Translational Research	Black	31
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR04B1	Active	Biopathology and Translational Research	Other	39
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR04B1	Active	Biopathology and Translational Research	Unknown	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR04B1	Active	Biopathology and Translational Research	White	110
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR06C1	Complete	Biopathology and Translational Research	Black	61
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR06C1	Complete	Biopathology and Translational Research	Other	46
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR06C1	Complete	Biopathology and Translational Research	Other Asian	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR06C1	Complete	Biopathology and Translational Research	Unknown	28
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ABTR06C1	Complete	Biopathology and Translational Research	White	427
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACCL1131	Active	Cancer Control	Asian Indian, Pakistani	10
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACCL1131	Active	Cancer Control	Black	74
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACCL1131	Active	Cancer Control	Filipino	6
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACCL1131	Active	Cancer Control	Other	38
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACCL1131	Active	Cancer Control	Other Asian	8
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACCL1131	Active	Cancer Control	Unknown	3
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACCL1131	Active	Cancer Control	White	370
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS0121	Complete	Central Nervous System Tumors	Black	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS0121	Complete	Central Nervous System Tumors	Unknown	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS0121	Complete	Central Nervous System Tumors	White	6
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS0122	Complete	Central Nervous System Tumors	White	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	American Indian, Aleutian	22
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Asian Indian, Pakistani	11
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Black	246
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Chinese	9
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Filipino	5
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Guamanian, NOS	8
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Hawaiian	3
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Laotian	1
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Other	89
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Other Asian	32
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Pacific Islander, NOS	2
Buffy Coat	Cryopreserved	Blood	Non-Malignant	Pre-Therapy	ACNS02B3	Active	Central Nervous System Tumors	Unknown	73
